Time [sec];Acceleration [g]
0.0;0.0
0.1;0.0001
0.2;0.0
0.3;-0.0002
0.4;-0.0001
0.5;0.0
0.6;-0.0003
0.7;-0.0007
0.8;-0.0002
0.9;-0.0009
1.0;-0.0018
1.1;-0.0004
1.2;-0.0012
1.3;-0.0012
1.4;-0.0006
1.5;-0.0038
1.6;-0.0021
1.7;-0.0012
1.8;-0.0009
1.9;-0.0001
2.0;-0.001
2.1;-0.0006
2.2;-0.0011
2.3;0.0013
2.4;-0.0058
2.5;-0.0006
2.6;0.0006
2.7;-0.0026
2.8;-0.0022
2.9;-0.0029
3.0;-0.0142
3.1;-0.0121
3.2;-0.0032
3.3;-0.0114
3.4;0.0059
3.5;-0.0143
3.6;-0.0098
3.7;-0.0288
3.8;0.0078
3.9;0.0004
4.0;0.053
4.1;-0.0238
4.2;-0.0147
4.3;0.0295
4.4;0.0566
4.5;-0.1149
4.6;0.2483
4.7;-0.2277
4.8;-0.0153
4.9;0.2896
5.0;-0.0378
5.1;0.1598
5.2;-0.2952
5.3;-0.2271
5.4;0.2658
5.5;0.0228
5.6;-0.0594
5.7;-0.0224
5.8;-0.0092
5.9;-0.2314
6.0;-0.3303
6.1;0.2871
6.2;0.2662
6.3;0.2259
6.4;0.0338
6.5;0.1089
6.6;-0.2437
6.7;0.2349
6.8;-0.3595
6.9;0.4125
7.0;-0.0338
7.1;0.6535
7.2;-0.5604
7.3;-0.6875
7.4;0.521
7.5;0.1972
7.6;0.406
7.7;-0.6532
7.8;-0.4734
7.9;0.3604
8.0;0.6497
8.1;-0.7567
8.2;-0.2972
8.3;0.2156
8.4;0.7656
8.5;-0.0425
8.6;-0.5603
8.7;-0.4546
8.8;-0.3123
8.9;1.0
9.0;0.4162
9.1;-0.5741
9.2;-0.0352
9.3;-0.2318
9.4;0.5299
9.5;-0.0646
9.6;-0.0089
9.7;-0.112
9.8;-0.0372
9.9;0.2524
10.0;0.3701
10.1;-0.123
10.2;-0.5712
10.3;-0.2241
10.4;-0.3844
10.5;-0.0359
10.6;0.0243
10.7;0.2623
10.8;0.2516
10.9;0.0356
11.0;-0.4855
11.1;-0.0333
11.2;0.4285
11.3;0.1953
11.4;-0.1101
11.5;-0.3991
11.6;0.1265
11.7;0.158
11.8;0.3638
11.9;0.1678
12.0;0.0929
12.1;-0.1253
12.2;0.013
12.3;-0.0034
12.4;-0.159
12.5;-0.1368
12.6;-0.1054
12.7;0.3623
12.8;-0.1037
12.9;-0.0428
13.0;-0.1232
13.1;-0.1503
13.2;0.1374
13.3;0.033
13.4;0.067
13.5;0.2973
13.6;0.0246
13.7;-0.2467
13.8;-0.1134
13.9;-0.1168
14.0;0.0237
14.1;0.1422
14.2;0.1386
14.3;0.0627
14.4;0.013
14.5;0.0684
14.6;-0.0958
14.7;-0.0997
14.8;0.0603
14.9;-0.0431
15.0;-0.1247
15.1;0.1273
15.2;-0.1056
15.3;-0.0568
15.4;-0.1254
15.5;-0.1693
15.6;0.0486
15.7;0.1505
15.8;-0.0674
15.9;0.0088
16.0;0.1945
16.1;0.0885
16.2;0.0612
16.3;0.153
16.4;-0.1342
16.5;0.0229
16.6;-0.0564
16.7;0.0335
16.8;-0.1659
16.9;-0.1593
17.0;0.0118
17.1;0.0864
17.2;-0.0336
17.3;-0.0113
17.4;-0.1015
17.5;-0.1236
17.6;0.0466
17.7;0.1471
17.8;0.0629
17.9;-0.0247
18.0;0.1086
18.1;0.0063
18.2;0.0177
18.3;-0.1377
18.4;-0.0177
18.5;0.0228
18.6;0.0619
18.7;-0.0596
18.8;-0.0535
18.9;-0.0152
19.0;0.0201
19.1;-0.0174
19.2;0.0189
19.3;-0.0338
19.4;-0.0027
19.5;0.0042
19.6;0.0113
19.7;-0.0474
19.8;-0.0168
19.9;0.0658
20.0;0.0051
20.1;0.01
20.2;-0.0046
20.3;-0.0366
20.4;-0.0831
20.5;0.0044
20.6;0.0654
20.7;-0.0187
20.8;-0.0576
20.9;0.045
21.0;0.112
21.1;0.042
21.2;0.0598
21.3;0.0141
21.4;0.0419
21.5;-0.0701
21.6;-0.0112
21.7;-0.1038
21.8;-0.0307
21.9;-0.0706
22.0;0.0039
22.1;0.0211
22.2;-0.0054
22.3;0.0079
22.4;-0.022
22.5;0.0649
22.6;-0.0011
22.7;-0.0122
22.8;0.0065
22.9;0.0155
23.0;0.0036
23.1;-0.063
23.2;-0.0011
23.3;0.0408
23.4;0.0044
23.5;-0.0079
23.6;-0.028
23.7;0.0348
23.8;-0.031
23.9;0.0547
24.0;0.0077
24.1;-0.0238
24.2;-0.032
24.3;0.0201
24.4;0.0113
24.5;-0.0503
24.6;-0.0141
24.7;-0.0045
24.8;-0.0449
24.9;-0.005
25.0;0.0001
25.1;0.0672
25.2;0.0324
25.3;-0.004
25.4;0.0048
25.5;-0.0092
25.6;0.0231
25.7;-0.0282
25.8;0.0205
25.9;-0.0108
26.0;-0.0005
26.1;0.0074
26.2;-0.0472
26.3;-0.0194
26.4;-0.0614
26.5;0.0095
26.6;-0.0304
26.7;0.0291
26.8;0.0612
26.9;0.0411
27.0;0.0524
27.1;0.0295
27.2;0.0219
27.3;-0.0157
27.4;-0.0108
27.5;-0.0216
27.6;-0.0234
27.7;-0.0234
27.8;-0.0367
27.9;-0.0358
28.0;0.0034
28.1;-0.0271
28.2;0.0147
28.3;-0.0013
28.4;0.016
28.5;0.0386
28.6;0.0304
28.7;0.0183
28.8;0.0101
28.9;-0.01
29.0;-0.0195
29.1;-0.0189
29.2;-0.0234
29.3;-0.0138
29.4;0.0144
29.5;0.0159
29.6;-0.001
29.7;0.001
29.8;-0.0047
29.9;-0.0227
30.0;-0.0219
30.1;-0.0239
30.2;-0.0082
30.3;0.0259
30.4;0.0403
30.5;0.0385
30.6;0.0218
30.7;0.0233
30.8;0.0068
30.9;-0.0012
31.0;-0.0225
31.1;-0.0223
31.2;-0.0136
31.3;-0.0222
31.4;-0.0162
31.5;-0.0031
31.6;-0.0316
31.7;-0.0052
31.8;-0.0028
31.9;0.0033
32.0;0.0207
32.1;0.0268
32.2;0.0361
32.3;0.0371
32.4;0.0093
32.5;0.0048
32.6;-0.006
32.7;-0.0107
32.8;-0.0166
32.9;-0.008
33.0;-0.029
33.1;-0.0459
33.2;-0.0113
33.3;0.0008
33.4;0.0082
33.5;-0.0008
33.6;0.0087
33.7;0.0275
33.8;0.0156
33.9;0.0122
34.0;-0.0025
34.1;0.0139
34.2;0.0063
34.3;0.0188
34.4;-0.0198
34.5;-0.0133
34.6;-0.0081
34.7;-0.0202
34.8;0.0044
34.9;-0.0066
35.0;-0.0139
35.1;-0.0057
35.2;0.0164
35.3;-0.0007
35.4;0.0041
35.5;0.0038
35.6;0.001
35.7;0.0043
35.8;-0.0058
35.9;0.0106
36.0;0.0097
36.1;0.0168
36.2;0.0129
36.3;-0.0167
36.4;-0.0048
36.5;-0.0123
36.6;-0.0049
36.7;-0.0218
36.8;-0.0112
36.9;-0.0025
37.0;0.014
37.1;0.0088
37.2;0.0043
37.3;0.0037
37.4;0.0087
37.5;0.0185
37.6;0.001
37.7;0.0011
37.8;-0.011
37.9;0.0046
38.0;-0.0147
38.1;-0.0133
38.2;-0.0117
38.3;0.0015
38.4;0.0083
38.5;0.0055
38.6;0.0058
38.7;-0.0009
38.8;-0.0002
38.9;0.0007
39.0;-0.0054
39.1;-0.0075
39.2;-0.0049
39.3;-0.0037
39.4;-0.0023
39.5;0.0017
39.6;0.0033
39.7;0.0045
39.8;0.0037
39.9;0.0028
40.0;0.0
