Time [sec];Acceleration [g]
0.0;0.0
0.1;-0.002
0.2;-0.0011
0.3;-0.0004
0.4;0.0014
0.5;-0.0014
0.6;-0.0045
0.7;-0.0079
0.8;0.0124
0.9;-0.0006
1.0;-0.0142
1.1;-0.0046
1.2;0.0135
1.3;0.0345
1.4;0.0179
1.5;-0.0027
1.6;-0.022
1.7;0.0249
1.8;-0.0164
1.9;-0.0116
2.0;0.0316
2.1;0.0317
2.2;-0.0048
2.3;0.0244
2.4;-0.0098
2.5;-0.0298
2.6;0.0105
2.7;-0.0041
2.8;0.0073
2.9;-0.025
3.0;0.022
3.1;-0.0003
3.2;-0.0619
3.3;0.0187
3.4;0.0017
3.5;0.0352
3.6;-0.0135
3.7;0.0512
3.8;-0.0366
3.9;0.0029
4.0;0.0289
4.1;0.0534
4.2;0.0527
4.3;-0.001
4.4;0.0292
4.5;0.0002
4.6;0.0664
4.7;-0.0232
4.8;0.0248
4.9;-0.0363
5.0;0.0935
5.1;0.0332
5.2;-0.0383
5.3;-0.026
5.4;0.0883
5.5;-0.0027
5.6;-0.0663
5.7;0.002
5.8;0.0237
5.9;0.0531
6.0;-0.0777
6.1;0.0027
6.2;-0.1186
6.3;-0.0302
6.4;0.0659
6.5;-0.0364
6.6;-0.1758
6.7;-0.1159
6.8;-0.3065
6.9;0.282
7.0;-0.3447
7.1;-0.2947
7.2;0.0945
7.3;-0.0329
7.4;0.0002
7.5;-0.4058
7.6;-0.5808
7.7;0.255
7.8;0.2434
7.9;-0.099
8.0;-0.197
8.1;0.3434
8.2;0.6971
8.3;0.5094
8.4;0.241
8.5;0.5545
8.6;-0.3597
8.7;-1.0
8.8;-0.2429
8.9;0.6676
9.0;0.4853
9.1;-0.3544
9.2;-0.1905
9.3;-0.3886
9.4;-0.366
9.5;0.2416
9.6;0.274
9.7;-0.1626
9.8;-0.0596
9.9;0.3871
10.0;-0.0979
10.1;0.0236
10.2;0.0187
10.3;0.0683
10.4;0.0778
10.5;0.3155
10.6;0.0892
10.7;-0.2119
10.8;-0.194
10.9;0.141
11.0;0.1875
11.1;-0.1812
11.2;-0.2772
11.3;0.1205
11.4;0.0511
11.5;-0.0229
11.6;0.0771
11.7;0.3147
11.8;0.1581
11.9;0.1312
12.0;-0.0804
12.1;-0.1106
12.2;0.2896
12.3;0.3344
12.4;0.312
12.5;0.2226
12.6;0.2881
12.7;0.1932
12.8;-0.0666
12.9;-0.1132
13.0;0.0024
13.1;-0.1169
13.2;-0.1845
13.3;-0.2782
13.4;-0.2691
13.5;-0.142
13.6;-0.1607
13.7;-0.2863
13.8;-0.2386
13.9;-0.3127
14.0;-0.3123
14.1;-0.2518
14.2;-0.2909
14.3;-0.0129
14.4;0.0346
14.5;0.0007
14.6;-0.1073
14.7;-0.0477
14.8;-0.1251
14.9;-0.1301
15.0;0.0093
15.1;0.0419
15.2;-0.1172
15.3;-0.087
15.4;-0.0942
15.5;-0.0489
15.6;0.2975
15.7;0.5144
15.8;0.2644
15.9;0.4142
16.0;0.2192
16.1;-0.103
16.2;-0.0968
16.3;-0.0673
16.4;0.0279
16.5;0.0858
16.6;0.1068
16.7;0.0757
16.8;0.1835
16.9;0.0947
17.0;-0.1461
17.1;-0.2611
17.2;-0.1862
17.3;-0.0867
17.4;0.0572
17.5;0.1065
17.6;0.0898
17.7;0.0948
17.8;0.1278
17.9;0.0351
18.0;-0.152
18.1;-0.1484
18.2;-0.0987
18.3;0.0246
18.4;0.1112
18.5;-0.0102
18.6;-0.0311
18.7;-0.1346
18.8;-0.0876
18.9;-0.1606
19.0;0.13
19.1;0.2025
19.2;0.1319
19.3;0.0405
19.4;0.0299
19.5;0.1062
19.6;-0.0669
19.7;0.0008
19.8;0.042
19.9;0.0356
20.0;0.0963
20.1;0.0047
20.2;-0.0395
20.3;-0.1381
20.4;-0.185
20.5;-0.1117
20.6;-0.0677
20.7;-0.0314
20.8;-0.0909
20.9;0.12
21.0;-0.0009
21.1;-0.0645
21.2;-0.0889
21.3;-0.1829
21.4;-0.0577
21.5;-0.0742
21.6;-0.0617
21.7;-0.1185
21.8;-0.0701
21.9;-0.0796
22.0;-0.0184
22.1;0.0737
22.2;0.0548
22.3;0.1267
22.4;0.1278
22.5;0.0959
22.6;0.1048
22.7;0.0129
22.8;0.0751
22.9;0.028
23.0;0.0494
23.1;0.0788
23.2;0.1218
23.3;0.0886
23.4;0.0689
23.5;0.0331
23.6;0.0301
23.7;0.0113
23.8;0.0258
23.9;0.0125
24.0;0.0444
24.1;-0.0007
24.2;0.0089
24.3;0.037
24.4;-0.0182
24.5;-0.057
24.6;-0.0167
24.7;0.0085
24.8;0.0051
24.9;-0.013
25.0;-0.008
25.1;-0.0143
25.2;-0.0654
25.3;-0.161
25.4;-0.0742
25.5;-0.0941
25.6;-0.0421
25.7;-0.0322
25.8;-0.0313
25.9;0.0056
26.0;0.0309
26.1;0.0294
26.2;0.0055
26.3;0.0009
26.4;-0.0007
26.5;0.0015
26.6;0.0032
26.7;0.005
26.8;0.0094
26.9;0.0134
27.0;0.0171
27.1;0.0
27.2;0
27.3;0
27.4;0
27.5;0
27.6;0
27.7;0
27.8;0
27.9;0
28;0
28.1;0
28.2;0
28.3;0
28.4;0
28.5;0
28.6;0
28.7;0
28.8;0
28.9;0
29;0
29.1;0
29.2;0
29.3;0
29.4;0
29.5;0
29.6;0
29.7;0
29.8;0
29.9;0
30;0

