Time [sec];Acceleration [g]
0.0;0.0
0.1;0.0051
0.2;0.007
0.3;0.0096
0.4;0.0055
0.5;0.0302
0.6;-0.0053
0.7;-0.01
0.8;0.0035
0.9;-0.011
1.0;0.0293
1.1;-0.0147
1.2;0.0225
1.3;-0.0215
1.4;0.002
1.5;0.0103
1.6;0.0423
1.7;-0.0057
1.8;-0.0087
1.9;0.0233
2.0;0.0636
2.1;-0.0185
2.2;0.059
2.3;-0.0041
2.4;-0.0972
2.5;-0.0684
2.6;0.0444
2.7;0.032
2.8;-0.003
2.9;0.0055
3.0;0.0048
3.1;0.0233
3.2;-0.101
3.3;0.0098
3.4;-0.0545
3.5;-0.0643
3.6;-0.0611
3.7;0.0451
3.8;-0.0063
3.9;-0.0109
4.0;-0.0026
4.1;-0.0385
4.2;-0.0468
4.3;-0.0668
4.4;0.0713
4.5;0.0213
4.6;-0.0343
4.7;-0.0276
4.8;0.0668
4.9;-0.0209
5.0;0.1006
5.1;-0.0304
5.2;0.0706
5.3;-0.0498
5.4;0.0619
5.5;-0.0547
5.6;0.0513
5.7;0.0945
5.8;-0.5506
5.9;-0.0426
6.0;0.0601
6.1;0.5938
6.2;-0.6645
6.3;-0.0659
6.4;0.623
6.5;-0.4922
6.6;0.3962
6.7;0.2541
6.8;0.3439
6.9;-0.4994
7.0;0.0805
7.1;0.1699
7.2;0.0042
7.3;-0.1686
7.4;-0.0276
7.5;0.0278
7.6;0.0767
7.7;-0.0586
7.8;0.0529
7.9;-0.0445
8.0;0.1031
8.1;-0.0858
8.2;0.2006
8.3;-0.1931
8.4;-0.1022
8.5;-0.1036
8.6;-0.1543
8.7;-0.1967
8.8;-0.1915
8.9;0.4663
9.0;-0.0221
9.1;-0.1259
9.2;0.5336
9.3;-0.0469
9.4;-0.6063
9.5;0.6373
9.6;0.0713
9.7;0.2495
9.8;-0.5182
9.9;-0.4154
10.0;0.2197
10.1;-0.3971
10.2;0.283
10.3;0.4788
10.4;0.0958
10.5;-0.0647
10.6;-0.1293
10.7;-0.0869
10.8;0.0228
10.9;1.0
11.0;-0.6562
11.1;0.8311
11.2;-0.5693
11.3;-0.1341
11.4;-0.5415
11.5;0.5476
11.6;0.039
11.7;0.2594
11.8;0.1762
11.9;0.2827
12.0;-0.2094
12.1;-0.4297
12.2;0.4343
12.3;0.1727
12.4;0.164
