Time [sec];Acceleration [g]
0.0;0.0
0.1;0.0027
0.2;-0.0035
0.3;0.0057
0.4;-0.0005
0.5;-0.0031
0.6;0.0042
0.7;0.0008
0.8;-0.0009
0.9;-0.0005
1.0;-0.0015
1.1;-0.0078
1.2;-0.0026
1.3;0.0023
1.4;-0.0023
1.5;0.0119
1.6;-0.0174
1.7;0.0067
1.8;-0.0191
1.9;0.0376
2.0;0.0139
2.1;-0.0418
2.2;-0.0326
2.3;0.0303
2.4;-0.026
2.5;0.0403
2.6;0.0755
2.7;-0.0172
2.8;-0.0421
2.9;-0.0439
3.0;0.0523
3.1;0.0773
3.2;-0.0963
3.3;-0.104
3.4;0.1062
3.5;0.0419
3.6;-0.0754
3.7;-0.0516
3.8;0.1761
3.9;-0.1777
4.0;0.123
4.1;-0.2166
4.2;0.0319
4.3;-0.2795
4.4;0.0009
4.5;0.082
4.6;0.1816
4.7;0.1562
4.8;-0.1086
4.9;0.0117
5.0;0.0903
5.1;-0.3638
5.2;0.2523
5.3;0.0746
5.4;0.5292
5.5;-0.1262
5.6;-0.807
5.7;-0.3614
5.8;-0.4698
5.9;-0.1537
6.0;0.6999
6.1;0.0078
6.2;-1.0
6.3;-0.3418
6.4;-0.4978
6.5;0.6222
6.6;0.3605
6.7;0.1744
6.8;0.1493
6.9;0.0474
7.0;0.2346
7.1;-0.2515
7.2;0.6682
7.3;0.0717
7.4;0.0866
7.5;-0.1736
7.6;0.3259
7.7;-0.2727
7.8;0.0616
7.9;-0.1251
8.0;0.6361
8.1;-0.8939
8.2;-0.2458
8.3;0.2803
8.4;0.1573
8.5;-0.0166
8.6;0.4102
8.7;0.197
8.8;-0.2855
8.9;0.0188
9.0;0.2311
9.1;-0.1733
9.2;0.1581
9.3;-0.2585
9.4;0.1681
9.5;0.0371
9.6;-0.1457
9.7;-0.2034
9.8;0.2204
9.9;0.0322
10.0;0.0782
10.1;-0.0951
10.2;-0.0165
10.3;-0.0488
10.4;0.0174
10.5;-0.0606
10.6;-0.0641
10.7;0.0357
10.8;0.036
10.9;0.084
11.0;0.0638
11.1;-0.0958
11.2;-0.1343
11.3;0.0321
11.4;0.0137
11.5;-0.0661
11.6;0.0508
11.7;0.0722
11.8;-0.0032
11.9;-0.0102
12.0;0.0279
12.1;-0.0052
12.2;0.007
12.3;0.0549
12.4;-0.0502
12.5;0.0712
12.6;-0.0291
12.7;0.0677
12.8;-0.0635
12.9;0.0219
13.0;-0.0927
13.1;0.0581
13.2;-0.1544
13.3;0.0956
13.4;-0.0397
13.5;0.1069
13.6;0.0079
13.7;0.0595
13.8;-0.0091
13.9;0.0185
14.0;-0.0085
14.1;0.0049
14.2;0.0793
14.3;-0.0884
14.4;0.0099
14.5;0.0322
14.6;-0.0413
14.7;0.0211
14.8;0.025
14.9;-0.0571
15.0;0.0167
15.1;-0.0219
15.2;0.0636
15.3;-0.0434
15.4;-0.0652
15.5;-0.0077
15.6;-0.0567
15.7;0.0226
15.8;-0.0116
15.9;-0.1503
16.0;-0.0243
16.1;0.1546
16.2;0.0162
16.3;-0.0476
16.4;-0.0508
16.5;-0.0038
16.6;0.0917
16.7;0.0641
16.8;-0.0257
16.9;-0.0469
17.0;-0.0647
17.1;0.0916
17.2;0.0391
17.3;-0.0091
17.4;0.065
17.5;-0.0582
17.6;-0.0587
17.7;-0.0379
17.8;-0.0092
17.9;0.0951
18.0;-0.1165
18.1;0.0359
18.2;-0.0121
18.3;0.1215
18.4;-0.1152
18.5;-0.0766
18.6;0.0337
18.7;0.0492
18.8;0.0321
18.9;0.0678
19.0;-0.0646
19.1;0.0364
19.2;-0.0682
19.3;0.0662
19.4;-0.0376
19.5;0.0371
19.6;-0.0347
19.7;-0.0106
19.8;-0.0471
19.9;0.0328
20.0;-0.0338
20.1;-0.0389
20.2;0.0314
20.3;-0.0226
20.4;0.1076
20.5;-0.0956
20.6;-0.0778
20.7;-0.0252
20.8;0.0593
20.9;0.0121
21.0;-0.0935
21.1;0.0407
21.2;0.1184
21.3;-0.0739
21.4;-0.0686
21.5;0.0245
21.6;-0.0436
21.7;0.2158
21.8;-0.1114
21.9;0.0672
22.0;0.0164
22.1;0.0488
22.2;-0.0021
22.3;-0.0597
22.4;-0.0725
22.5;0.0274
22.6;0.004
22.7;-0.0182
22.8;-0.0421
22.9;0.1216
23.0;0.0348
23.1;-0.0304
23.2;0.0042
23.3;-0.0158
23.4;-0.0016
23.5;-0.0623
23.6;-0.0669
23.7;0.047
23.8;-0.0366
23.9;-0.0289
24.0;-0.0736
24.1;0.0154
24.2;0.0218
24.3;0.0871
24.4;0.0608
24.5;-0.0454
24.6;0.0161
24.7;0.0126
24.8;-0.0226
24.9;-0.0237
25.0;-0.0053
25.1;0.0741
25.2;-0.0051
25.3;-0.0179
25.4;0.0841
25.5;-0.0105
25.6;0.0116
25.7;-0.1261
25.8;0.0746
25.9;0.0202
26.0;-0.0805
26.1;0.0116
26.2;-0.0044
26.3;0.0087
26.4;-0.0553
26.5;0.0285
26.6;0.1305
26.7;-0.0751
26.8;0.009
26.9;0.0786
27.0;-0.0069
27.1;0.0604
27.2;-0.059
27.3;-0.0547
27.4;-0.0053
27.5;0.0376
27.6;0.0249
27.7;-0.0781
27.8;0.0253
27.9;-0.1003
28.0;0.0543
28.1;0.0119
28.2;-0.0382
28.3;0.0028
28.4;-0.0376
28.5;-0.0164
28.6;0.0959
28.7;0.0256
28.8;-0.0075
28.9;-0.0605
29.0;0.0504
29.1;0.0346
29.2;-0.0829
29.3;0.0399
29.4;-0.0001
29.5;-0.0394
29.6;-0.0377
29.7;-0.0143
29.8;0.0165
29.9;-0.0375
30.0;0.0444
30.1;-0.0209
30.2;0.034
30.3;-0.0765
30.4;0.022
30.5;0.0115
30.6;0.0076
30.7;-0.0114
30.8;-0.0212
30.9;-0.0354
31.0;0.0021
31.1;0.0398
31.2;0.0093
31.3;-0.0285
31.4;0.0177
31.5;-0.0294
31.6;0.0062
31.7;0.0426
31.8;-0.0142
31.9;-0.0209
32.0;0.0001
32.1;-0.0399
32.2;0.0483
32.3;-0.0129
32.4;-0.0122
32.5;0.0494
32.6;-0.0016
32.7;0.0099
32.8;-0.0145
32.9;0.0132
33.0;0.005
33.1;-0.0487
