Time [sec];Acceleration [g]
0.0;0.0
0.1;-0.0015
0.2;0.0013
0.3;0.0033
0.4;-0.0064
0.5;-0.0024
0.6;-0.0143
0.7;0.0081
0.8;-0.0075
0.9;0.0059
1.0;-0.0045
1.1;0.0022
1.2;-0.0023
1.3;0.0049
1.4;0.0009
1.5;0.006
1.6;0.0123
1.7;-0.0091
1.8;0.0078
1.9;-0.026
2.0;0.0041
2.1;-0.0108
2.2;0.0066
2.3;0.0139
2.4;0.0276
2.5;0.0146
2.6;-0.0444
2.7;0.0036
2.8;0.0111
2.9;0.0272
3.0;0.0024
3.1;0.0184
3.2;-0.0328
3.3;-0.123
3.4;-0.0555
3.5;0.0168
3.6;-0.0918
3.7;0.0993
3.8;-0.2496
3.9;-0.0344
4.0;-0.1681
4.1;-0.0779
4.2;0.0265
4.3;-0.0306
4.4;-0.0627
4.5;-0.1965
4.6;-0.1201
4.7;0.1281
4.8;-0.006
4.9;0.0174
5.0;0.0435
5.1;0.0778
5.2;-0.1019
5.3;-0.1448
5.4;0.2332
5.5;0.1183
5.6;0.177
5.7;-0.3278
5.8;0.1211
5.9;0.1589
6.0;0.4355
6.1;-1.0
6.2;-0.4221
6.3;0.218
6.4;0.2967
6.5;0.2082
6.6;-0.9404
6.7;0.4613
6.8;0.0476
6.9;-0.0241
7.0;-0.0534
7.1;0.2505
7.2;0.4513
7.3;-0.4566
7.4;-0.2116
7.5;0.3268
7.6;-0.0901
7.7;-0.6162
7.8;-0.1444
7.9;0.0757
8.0;-0.1402
8.1;0.2012
8.2;-0.0659
8.3;0.1249
8.4;-0.1668
8.5;-0.0231
8.6;0.0282
8.7;0.2121
8.8;0.0098
8.9;0.0282
9.0;0.0676
9.1;-0.1373
9.2;0.0696
9.3;-0.0391
9.4;-0.0362
9.5;-0.0789
9.6;0.0282
9.7;0.1244
9.8;0.0124
9.9;-0.0778
10.0;0.0025
10.1;-0.133
10.2;-0.1201
10.3;0.0017
10.4;-0.008
10.5;0.1688
10.6;0.0972
10.7;-0.0585
10.8;0.1908
10.9;-0.1058
11.0;-0.1505
11.1;-0.0846
11.2;-0.0037
11.3;0.0067
11.4;-0.095
11.5;0.0865
11.6;0.059
11.7;-0.0607
11.8;-0.0546
11.9;-0.0727
12.0;-0.007
12.1;-0.0529
12.2;-0.011
12.3;0.0171
12.4;0.1446
12.5;0.0197
12.6;0.0791
12.7;0.0102
12.8;0.0308
12.9;-0.009
13.0;-0.1016
13.1;-0.1048
13.2;0.0707
13.3;-0.055
13.4;-0.006
13.5;0.016
13.6;0.0057
13.7;-0.0193
13.8;0.0031
13.9;0.0395
14.0;0.1232
14.1;0.035
14.2;-0.0368
14.3;-0.0932
14.4;-0.1326
14.5;-0.0332
14.6;0.0872
14.7;0.0694
14.8;0.0548
14.9;-0.0811
15.0;0.0383
15.1;0.0051
15.2;0.0014
15.3;-0.0058
15.4;0.0008
15.5;-0.0408
15.6;-0.0508
15.7;-0.078
15.8;-0.0459
15.9;-0.0146
16.0;0.0004
16.1;0.036
16.2;0.0288
16.3;-0.0041
16.4;0.0197
16.5;-0.0079
16.6;0.0203
16.7;0.0557
16.8;0.0638
16.9;-0.0077
17.0;0.0025
17.1;-0.0403
17.2;-0.0654
17.3;-0.0153
17.4;-0.0925
17.5;-0.0364
17.6;-0.0277
17.7;0.0521
17.8;0.07
17.9;0.0045
18.0;0.0186
18.1;0.0274
18.2;0.0589
18.3;0.0296
18.4;0.0665
18.5;0.0582
18.6;-0.0045
18.7;-0.0448
18.8;-0.0555
18.9;0.0115
19.0;-0.0092
19.1;-0.0161
19.2;-0.0396
19.3;-0.0423
19.4;0.0055
19.5;0.0378
19.6;0.0464
19.7;0.0338
19.8;0.0137
19.9;0.0255
20.0;0.0351
20.1;0.0202
20.2;-0.0124
20.3;-0.066
20.4;-0.0389
20.5;-0.0163
20.6;0.0093
20.7;0.0115
20.8;-0.0179
20.9;0.0126
21.0;0.0449
21.1;0.0142
21.2;0.0312
21.3;-0.0211
21.4;-0.0145
21.5;-0.0109
21.6;-0.031
21.7;-0.0156
21.8;0.0161
21.9;0.0006
22.0;-0.0219
22.1;-0.0035
22.2;0.0099
22.3;-0.0078
22.4;0.0004
22.5;0.001
22.6;0.0259
22.7;-0.0287
22.8;0.0162
22.9;0.0237
23.0;0.0217
23.1;-0.0013
23.2;-0.0331
23.3;-0.0165
23.4;0.0196
23.5;0.0194
23.6;0.0206
23.7;0.0148
23.8;-0.0243
23.9;-0.0078
24.0;0.0324
24.1;0.0324
24.2;0.0336
24.3;0.0338
24.4;0.005
24.5;0.0141
24.6;-0.0001
24.7;0.0079
24.8;0.0053
24.9;-0.0235
25.0;-0.0284
25.1;-0.0152
25.2;-0.0049
25.3;0.0027
25.4;0.0188
25.5;0.0183
25.6;0.0417
25.7;0.0538
25.8;0.008
25.9;-0.0125
26.0;-0.0436
26.1;-0.046
26.2;-0.0243
26.3;-0.02
26.4;0.0043
26.5;0.0255
26.6;0.0013
26.7;0.0104
26.8;0.0092
26.9;0.0161
27.0;-0.0092
27.1;-0.0186
27.2;-0.0335
27.3;-0.0384
27.4;-0.032
27.5;-0.017
27.6;0.0154
27.7;0.0416
27.8;0.0641
27.9;0.04
28.0;0.0063
28.1;-0.0268
28.2;-0.0096
28.3;-0.0143
28.4;0.0131
28.5;-0.0032
28.6;0.0245
28.7;0.0112
28.8;-0.0023
28.9;-0.0052
29.0;-0.005
29.1;-0.0063
29.2;-0.0143
29.3;-0.0234
29.4;-0.0175
29.5;0.0062
29.6;0.0061
29.7;0.003
29.8;-0.0089
29.9;-0.0018
30.0;-0.0118
30.1;-0.0194
30.2;-0.0149
30.3;0.0155
30.4;0.0147
30.5;-0.0064
30.6;0.0033
30.7;0.0124
30.8;0.013
30.9;0.0151
31.0;0.0141
31.1;-0.0105
31.2;-0.0296
31.3;-0.0418
31.4;-0.0379
31.5;-0.0243
31.6;-0.0205
31.7;-0.0112
31.8;0.0294
31.9;0.01
32.0;0.0216
32.1;0.0053
32.2;0.0023
32.3;0.0054
32.4;0.0116
32.5;0.022
32.6;0.0261
32.7;0.037
32.8;0.0037
32.9;-0.01
33.0;-0.0019
33.1;-0.0064
33.2;0.0064
33.3;0.0102
33.4;0.0207
33.5;0.0206
33.6;0.0164
33.7;-0.0099
33.8;-0.0322
33.9;-0.0246
34.0;-0.0395
34.1;-0.0317
34.2;-0.019
34.3;0.0015
34.4;0.0054
34.5;0.0316
34.6;0.022
34.7;0.0194
34.8;-0.0016
34.9;0.0009
35.0;-0.0073
35.1;-0.0106
35.2;-0.0063
35.3;-0.0112
35.4;0.0008
35.5;0.0102
35.6;0.0156
35.7;0.0121
35.8;0.0032
35.9;-0.0037
36.0;-0.0084
36.1;-0.0108
36.2;-0.0082
36.3;-0.0051
36.4;0.009
36.5;0.0091
36.6;-0.0009
36.7;0.0013
36.8;-0.0201
36.9;-0.0196
37.0;-0.013
37.1;-0.0138
37.2;-0.0008
37.3;0.0042
37.4;0.0144
37.5;0.0203
37.6;0.0057
37.7;-0.0012
37.8;0.0129
37.9;-0.0079
38.0;0.0003
38.1;0.007
38.2;0.0192
38.3;0.0104
38.4;0.0009
38.5;0.002
38.6;0.0001
38.7;-0.0083
38.8;-0.009
38.9;-0.0034
39.0;0.0006
39.1;-0.0027
39.2;-0.0141
39.3;0.0009
39.4;-0.0025
39.5;0.0023
39.6;0.0112
39.7;0.0136
39.8;0.023
39.9;0.0196
40.0;0.0105
40.1;-0.0071
40.2;-0.0082
40.3;-0.0033
40.4;-0.005
40.5;-0.0097
40.6;-0.0082
40.7;-0.0079
40.8;-0.0088
40.9;-0.009
41.0;-0.0107
41.1;-0.0083
41.2;-0.0065
41.3;-0.0061
41.4;-0.0107
41.5;-0.0007
41.6;0.0048
41.7;0.0118
41.8;0.005
41.9;0.0045
42.0;-0.0057
42.1;0.0056
42.2;0.0019
42.3;-0.0044
42.4;-0.0065
42.5;0.0022
42.6;0.02
42.7;0.026
42.8;0.0205
42.9;0.0062
43.0;-0.0036
43.1;-0.0101
43.2;-0.0139
43.3;-0.0159
43.4;-0.0084
43.5;0.0004
43.6;-0.0146
43.7;-0.0033
43.8;-0.0005
43.9;-0.0014
44.0;-0.001
44.1;-0.0021
44.2;0.0045
44.3;-0.0005
44.4;-0.0022
44.5;-0.0001
44.6;-0.0079
44.7;-0.0002
44.8;0.0095
44.9;0.0095
45.0;0.0099
45.1;0.0234
45.2;0.0229
45.3;0.013
45.4;0.015
45.5;0.0025
45.6;-0.0017
45.7;-0.0112
45.8;-0.0109
45.9;-0.0148
46.0;-0.0061
46.1;-0.0063
46.2;-0.0087
46.3;-0.0043
46.4;-0.0084
46.5;-0.0146
