Time [sec];Acceleration [g]
0.0;0.0
0.1;-0.0001
0.2;-0.0001
0.3;-0.0009
0.4;-0.0059
0.5;0.0079
0.6;-0.0277
0.7;0.0107
0.8;-0.0297
0.9;-0.0023
1.0;-0.0012
1.1;0.0611
1.2;-0.0852
1.3;0.1428
1.4;-0.0426
1.5;0.0697
1.6;0.0883
1.7;-0.0504
1.8;0.0624
1.9;0.0922
2.0;-0.0548
2.1;-0.0565
2.2;0.0353
2.3;0.1113
2.4;0.006
2.5;-0.0076
2.6;-0.1399
2.7;0.4196
2.8;-0.3514
2.9;0.1961
3.0;-0.3138
3.1;0.0877
3.2;0.037
3.3;0.1024
3.4;-0.4986
3.5;0.0378
3.6;0.066
3.7;0.0027
3.8;0.1144
3.9;0.2104
4.0;-0.0056
4.1;-0.104
4.2;0.1743
4.3;-0.1844
4.4;-0.084
4.5;0.4942
4.6;-0.6734
4.7;0.025
4.8;-0.0443
4.9;0.0315
5.0;0.6002
5.1;0.1965
5.2;-0.0208
5.3;-0.3528
5.4;-0.2882
5.5;-0.0891
5.6;0.1979
5.7;0.2394
5.8;-0.1918
5.9;-0.2569
6.0;0.2623
6.1;0.4205
6.2;-0.0371
6.3;-0.336
6.4;-0.2053
6.5;0.1692
6.6;0.4251
6.7;-0.1223
6.8;-0.2977
6.9;0.1235
7.0;0.0095
7.1;0.0437
7.2;0.2726
7.3;-0.1803
7.4;-0.1344
7.5;0.2332
7.6;-0.1783
7.7;0.0566
7.8;0.0376
7.9;-0.1437
8.0;0.1944
8.1;0.0691
8.2;0.1203
8.3;-0.5482
8.4;0.173
8.5;0.186
8.6;0.2061
8.7;0.097
8.8;-0.2835
8.9;-0.1055
9.0;-0.0705
9.1;0.1721
9.2;-0.4733
9.3;-0.2884
9.4;0.0041
9.5;0.0706
9.6;0.1638
9.7;-0.0883
9.8;0.1012
9.9;0.3158
10.0;-0.3891
10.1;0.1619
10.2;-0.2544
10.3;0.0808
10.4;0.6198
10.5;0.3086
10.6;0.3775
10.7;-0.878
10.8;0.0551
10.9;0.4661
11.0;0.7297
11.1;0.1941
11.2;0.3987
11.3;-0.8794
11.4;-0.0638
11.5;0.2977
11.6;-0.0445
11.7;-0.031
11.8;-0.4296
11.9;0.752
12.0;0.1347
12.1;-0.2959
12.2;-0.223
12.3;-0.043
12.4;0.4602
12.5;0.2881
12.6;-0.7079
12.7;0.677
12.8;-0.1935
12.9;-0.233
13.0;0.2018
13.1;-0.3199
13.2;0.1323
13.3;0.7235
13.4;-1.0
13.5;0.0974
13.6;-0.4058
13.7;0.2252
13.8;0.6232
13.9;0.2689
14.0;-0.3882
14.1;-0.3025
14.2;-0.2597
14.3;0.1944
14.4;0.5257
14.5;-0.2363
14.6;0.1458
14.7;-0.2734
14.8;0.2192
14.9;-0.2111
15.0;0.2844
15.1;-0.0517
15.2;0.0005
15.3;0.0714
15.4;-0.1159
15.5;-0.0915
15.6;0.2012
15.7;-0.0791
15.8;0.0023
15.9;0.2548
16.0;0.1586
16.1;-0.3598
16.2;-0.391
16.3;0.0014
16.4;0.1635
16.5;0.384
16.6;0.083
16.7;-0.0535
16.8;-0.2793
16.9;0.3126
17.0;-0.2839
17.1;0.2224
17.2;0.2652
17.3;0.0905
17.4;-0.1053
17.5;0.0502
17.6;0.1153
17.7;-0.0898
17.8;0.0707
17.9;-0.0458
18.0;0.0192
18.1;-0.0538
18.2;0.0062
18.3;0.1468
18.4;0.0272
18.5;-0.0195
18.6;-0.1376
18.7;-0.0259
18.8;-0.088
18.9;0.0564
19.0;-0.0456
19.1;0.0798
19.2;-0.0266
19.3;0.0723
19.4;-0.0158
19.5;-0.0874
19.6;0.1484
19.7;-0.101
19.8;0.0079
19.9;-0.0271
20.0;0.0
