Time [sec];Acceleration [g]
0.0;0.0
0.1;0.0026
0.2;0.0028
0.3;0.0022
0.4;0.003
0.5;0.004
0.6;0.005
0.7;-0.008
0.8;0.0177
0.9;0.0042
1.0;0.0023
1.1;0.0006
1.2;0.0152
1.3;0.0087
1.4;-0.0088
1.5;0.0019
1.6;-0.0597
1.7;0.0754
1.8;0.0291
1.9;-0.0376
2.0;-0.0812
2.1;0.0171
2.2;-0.1399
2.3;0.0525
2.4;0.0078
2.5;0.0721
2.6;-0.1859
2.7;0.416
2.8;-0.1418
2.9;0.0781
3.0;0.0541
3.1;0.027
3.2;0.1405
3.3;-0.0705
3.4;-0.2017
3.5;0.1168
3.6;0.1365
3.7;-0.0325
3.8;0.1611
3.9;0.1211
4.0;-0.008
4.1;0.1465
4.2;0.3669
4.3;-0.1424
4.4;-0.4595
4.5;0.2942
4.6;-0.5803
4.7;-0.1763
4.8;0.3689
4.9;-0.3659
5.0;-0.4058
5.1;0.4088
5.2;-0.4466
5.3;0.2059
5.4;0.5381
5.5;0.0345
5.6;-0.1432
5.7;0.6262
5.8;0.0511
5.9;0.6995
6.0;-0.787
6.1;-0.6834
6.2;0.8871
6.3;0.0651
6.4;-0.4116
6.5;0.0017
6.6;0.5668
6.7;0.0195
6.8;-1.0
6.9;0.2667
7.0;0.1531
7.1;-0.1038
7.2;0.641
7.3;0.3016
7.4;-0.1004
7.5;-0.0657
7.6;-0.4333
7.7;0.1109
7.8;-0.2484
7.9;0.0964
8.0;-0.0539
8.1;-0.1722
8.2;-0.5806
8.3;-0.0846
8.4;0.2897
8.5;0.5692
8.6;0.3519
8.7;0.0301
8.8;0.0817
8.9;0.1397
9.0;-0.1078
9.1;-0.6072
9.2;-0.1587
9.3;0.2058
9.4;-0.0292
9.5;-0.4189
9.6;-0.1212
9.7;0.4545
9.8;0.0313
9.9;0.1095
10.0;0.1623
10.1;0.1739
10.2;0.1544
10.3;-0.0815
10.4;-0.0797
10.5;-0.1744
10.6;-0.2994
10.7;-0.4019
10.8;-0.0918
10.9;0.0937
11.0;0.3451
11.1;0.0059
11.2;-0.0557
11.3;0.0709
11.4;0.1509
11.5;-0.1273
11.6;-0.2424
11.7;0.1322
11.8;-0.0793
11.9;-0.0948
12.0;-0.1886
12.1;-0.1303
12.2;0.2529
12.3;0.3719
12.4;-0.0691
12.5;0.21
12.6;0.0431
12.7;0.004
12.8;-0.3283
12.9;-0.1554
13.0;0.1404
13.1;0.0055
13.2;-0.1218
13.3;-0.2626
13.4;-0.0313
13.5;-0.1046
13.6;0.2329
13.7;0.7187
13.8;0.2467
13.9;-0.103
14.0;-0.1332
14.1;-0.2708
14.2;-0.4238
14.3;0.2267
14.4;0.2203
14.5;0.1197
14.6;-0.2401
14.7;0.0261
14.8;-0.0543
14.9;0.0089
15.0;-0.0239
15.1;0.0581
15.2;-0.0589
15.3;0.0665
15.4;0.1725
15.5;0.044
15.6;-0.1684
15.7;-0.0293
15.8;0.0129
15.9;0.0105
16.0;-0.0105
16.1;-0.1189
16.2;0.0351
16.3;0.0857
16.4;0.0073
16.5;-0.118
16.6;-0.018
16.7;0.0899
16.8;-0.0618
16.9;0.095
17.0;0.0518
17.1;-0.1697
17.2;-0.1652
17.3;0.0192
17.4;0.1603
17.5;0.0211
17.6;-0.0312
17.7;0.0825
17.8;-0.0148
17.9;-0.015
18.0;0.0867
18.1;-0.0718
18.2;0.0665
18.3;0.0539
18.4;-0.0902
18.5;-0.1349
18.6;-0.0321
18.7;-0.0826
18.8;-0.0076
18.9;0.2856
19.0;0.1113
19.1;-0.0846
19.2;-0.0491
19.3;-0.0518
19.4;-0.0002
19.5;-0.0314
19.6;-0.0385
19.7;0.0462
19.8;0.0532
19.9;-0.1005
20.0;-0.0331
20.1;0.1319
20.2;0.0561
20.3;0.0302
20.4;0.0429
20.5;-0.0777
20.6;-0.1661
20.7;-0.164
20.8;-0.0388
20.9;0.089
21.0;0.0924
21.1;0.1464
21.2;0.0922
21.3;0.023
21.4;0.0093
21.5;-0.0076
21.6;-0.113
21.7;-0.0916
21.8;-0.0477
21.9;0.0493
22.0;0.0358
22.1;-0.0128
22.2;-0.0198
22.3;-0.0305
22.4;0.0226
