Time [sec];Acceleration [g]
0.0;0.0
0.1;0.0033
0.2;0.0033
0.3;0.0033
0.4;0.0032
0.5;0.0031
0.6;0.0029
0.7;0.0027
0.8;0.0024
0.9;0.0022
1.0;0.0018
1.1;0.0015
1.2;0.0012
1.3;0.0009
1.4;0.0005
1.5;0.0002
1.6;-0.0001
1.7;-0.0004
1.8;-0.0006
1.9;-0.0008
2.0;-0.001
2.1;-0.0012
2.2;-0.0013
2.3;-0.0012
2.4;-0.0012
2.5;-0.0012
2.6;-0.0011
2.7;-0.001
2.8;-0.0008
2.9;-0.0008
3.0;-0.0007
3.1;-0.0005
3.2;-0.0006
3.3;-0.0004
3.4;-0.0003
3.5;-0.0001
3.6;-0.0003
3.7;-0.0001
3.8;-0.0
3.9;0.0
4.0;0.0001
4.1;0.0002
4.2;0.0002
4.3;0.0002
4.4;0.0003
4.5;0.0004
4.6;0.0003
4.7;0.0003
4.8;0.0005
4.9;0.0005
5.0;-0.0001
5.1;-0.0003
5.2;-0.0178
5.3;0.0184
5.4;-0.0076
5.5;-0.0026
5.6;0.0086
5.7;-0.0096
5.8;-0.0341
5.9;0.0326
6.0;-0.0267
6.1;-0.0014
6.2;-0.0174
6.3;0.0861
6.4;0.1069
6.5;-0.1265
6.6;-0.1291
6.7;-0.0048
6.8;0.1582
6.9;0.1107
7.0;-0.2679
7.1;-0.2524
7.2;0.0792
7.3;0.2983
7.4;0.0706
7.5;-0.3302
7.6;-0.1402
7.7;0.3816
7.8;0.1835
7.9;-0.1437
8.0;-0.2109
8.1;-0.3753
8.2;-0.4556
8.3;-0.0196
8.4;0.5394
8.5;0.3948
8.6;0.3849
8.7;0.4814
8.8;0.2098
8.9;-0.6705
9.0;-0.1931
9.1;-0.2771
9.2;-0.7328
9.3;0.1933
9.4;0.2551
9.5;0.0767
9.6;0.4443
9.7;0.68
9.8;0.1042
9.9;-0.6576
10.0;-0.5762
10.1;-0.3172
10.2;-0.2206
10.3;-0.2861
10.4;0.1689
10.5;0.7504
10.6;0.8347
10.7;0.2946
10.8;-0.3397
10.9;-1.0
11.0;-0.1785
11.1;0.566
11.2;0.185
11.3;-0.4152
11.4;0.1377
11.5;-0.4798
11.6;-0.634
11.7;-0.4654
11.8;-0.1278
11.9;-0.0313
12.0;-0.0257
12.1;0.2212
12.2;0.348
12.3;0.3712
12.4;0.2947
12.5;0.5172
12.6;0.2056
12.7;-0.1388
12.8;-0.4188
12.9;-0.3827
13.0;-0.2461
13.1;-0.0875
13.2;-0.045
13.3;-0.2049
13.4;0.1875
13.5;0.3398
13.6;0.5189
13.7;0.3505
13.8;0.1412
13.9;0.0635
14.0;0.0792
14.1;-0.0058
14.2;-0.0152
14.3;0.1562
14.4;-0.1878
14.5;-0.3622
14.6;-0.2088
14.7;-0.0466
14.8;0.1035
14.9;0.0575
15.0;-0.1162
15.1;-0.3049
15.2;-0.0328
15.3;0.0785
15.4;0.0645
15.5;-0.0008
15.6;0.0265
15.7;0.0126
15.8;-0.0266
15.9;-0.0099
16.0;0.0208
16.1;0.0136
16.2;-0.0432
16.3;-0.0545
16.4;-0.1477
16.5;-0.092
16.6;0.0331
16.7;0.1069
16.8;0.1004
16.9;0.1821
17.0;0.0453
17.1;-0.0516
17.2;-0.0119
17.3;0.0533
17.4;0.0863
17.5;0.0943
17.6;0.0765
17.7;0.0955
17.8;0.1225
17.9;0.1162
18.0;0.0763
18.1;0.0087
18.2;-0.0351
18.3;-0.0585
18.4;-0.0637
18.5;-0.0287
18.6;-0.0064
18.7;-0.0369
18.8;-0.0817
18.9;-0.1684
19.0;-0.2231
