Time [sec];Acceleration [g]
0.0;0.0
0.1;-0.0016
0.2;-0.0023
0.3;-0.0025
0.4;0.0016
0.5;-0.0006
0.6;-0.0019
0.7;-0.0004
0.8;0.0017
0.9;0.0065
1.0;0.0027
1.1;-0.0054
1.2;0.0076
1.3;-0.0026
1.4;-0.0032
1.5;-0.0012
1.6;-0.0053
1.7;0.0127
1.8;-0.0044
1.9;-0.0003
2.0;-0.0095
2.1;-0.0012
2.2;0.0159
2.3;-0.0017
2.4;-0.0038
2.5;-0.0037
2.6;0.0084
2.7;0.0036
2.8;-0.0065
2.9;0.0067
3.0;0.0019
3.1;-0.0094
3.2;0.0095
3.3;0.0078
3.4;0.0082
3.5;-0.0059
3.6;0.0104
3.7;-0.0053
3.8;0.0162
3.9;-0.0145
4.0;-0.0093
4.1;-0.0012
4.2;-0.0034
4.3;0.0119
4.4;-0.0108
4.5;0.0104
4.6;-0.0054
4.7;-0.0262
4.8;0.0003
4.9;-0.0118
5.0;0.0065
5.1;-0.0015
5.2;-0.0194
5.3;0.0018
5.4;0.0141
5.5;0.0181
5.6;0.0011
5.7;0.0191
5.8;0.0087
5.9;-0.0046
6.0;0.0166
6.1;-0.0187
6.2;-0.0029
6.3;0.0084
6.4;-0.0114
6.5;-0.0127
6.6;0.0071
6.7;-0.0115
6.8;-0.0141
6.9;-0.0051
7.0;-0.0227
7.1;0.0108
7.2;-0.0109
7.3;-0.0165
7.4;0.0169
7.5;0.006
7.6;0.0069
7.7;-0.038
7.8;-0.0395
7.9;-0.017
8.0;-0.0224
8.1;0.0772
8.2;0.036
8.3;0.0005
8.4;-0.0658
8.5;-0.0262
8.6;0.0285
8.7;-0.0268
8.8;-0.0354
8.9;-0.0448
9.0;0.0629
9.1;-0.038
9.2;0.0937
9.3;-0.0826
9.4;0.1333
9.5;-0.0618
9.6;0.0949
9.7;-0.1081
9.8;-0.0544
9.9;0.1733
10.0;0.0121
10.1;0.0086
10.2;-0.1006
10.3;-0.0297
10.4;0.0525
10.5;0.1157
10.6;-0.0205
10.7;0.0122
10.8;0.0075
10.9;-0.0262
11.0;0.0053
